pitches,player_name,total_pitches,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,velocity,whiffs,swings,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,hardhit_percent,obp,barrels_total,xobp,xslg,swing_miss_percent
3415,"Rodón, Carlos",3415,0.24,0.204,0.292,0.444,0.323,0.314,0.231,178,741,90.7,517,1700,811,523,103,35,4,36,220,27.1,58,7.2,41.68260038240920,0.303,57,0.295,0.426,30.4
3324,"Manaea, Sean",3324,0.206,0.138,0.249,0.343,0.279,0.306,0.229,151,734,87.9,426,1634,821,535,98,29,0,24,203,24.7,71,8.6,39.06542056074770,0.284,43,0.307,0.384,26.1
3285,"Ragans, Cole",3285,0.212,0.118,0.292,0.33,0.275,0.28,0.213,153,722,89.7,516,1611,802,490,101,34,3,15,236,29.4,70,8.7,35.58282208588960,0.287,30,0.289,0.336,32
3130,"Skubal, Tarik",3130,0.2,0.106,0.271,0.306,0.243,0.252,0.204,155,774,92.1,519,1632,825,530,109,26,4,16,248,30.1,36,4.4,33.65019011406840,0.245,33,0.249,0.321,31.8
3086,"Quintana, Jose",3086,0.234,0.157,0.264,0.39,0.309,0.326,0.255,161,689,86.1,297,1327,780,550,102,33,3,23,148,19,70,9,38.54545454545460,0.313,37,0.333,0.404,22.4
2994,"Gore, MacKenzie",2994,0.264,0.134,0.341,0.398,0.325,0.316,0.252,171,648,91.6,432,1510,730,473,117,36,3,15,180,24.7,65,8.9,38.21656050955410,0.339,32,0.33,0.378,28.6
2923,"Kikuchi, Yusei",2923,0.245,0.147,0.312,0.391,0.298,0.298,0.238,167,682,90.4,411,1416,735,484,118,23,1,25,205,27.9,44,6,45.04132231404960,0.291,47,0.286,0.396,29
2914,"Anderson, Tyler",2914,0.232,0.162,0.258,0.394,0.308,0.322,0.245,158,681,84.4,400,1438,763,543,99,32,3,24,142,18.6,71,9.3,32.96500920810310,0.309,43,0.322,0.413,27.8
2888,"Corbin, Patrick",2888,0.298,0.188,0.338,0.486,0.357,0.357,0.295,208,697,85.7,312,1392,763,568,134,42,7,25,139,18.2,53,6.9,46.902654867256600,0.347,47,0.347,0.473,22.4
2885,"Sánchez, Cristopher",2885,0.258,0.103,0.314,0.361,0.291,0.294,0.259,187,726,89.4,367,1494,775,572,138,35,2,12,158,20.4,45,5.8,34.44055944055940,0.301,33,0.302,0.365,24.6
2866,"Cortes, Nestor",2866,0.244,0.178,0.285,0.422,0.306,0.298,0.237,163,668,87.6,350,1448,717,511,94,44,0,25,163,22.7,39,5.4,43.72549019607840,0.288,43,0.282,0.403,24.2
2857,"Sears, JP",2857,0.251,0.188,0.273,0.439,0.324,0.324,0.242,172,685,85.8,304,1392,758,557,102,39,3,28,137,18.1,49,6.5,40.21543985637340,0.311,57,0.304,0.442,21.8
2815,"Sale, Chris",2815,0.216,0.103,0.315,0.319,0.26,0.261,0.213,141,652,87.1,428,1379,702,430,96,32,4,9,225,32.1,39,5.6,31.308411214953300,0.269,24,0.266,0.317,31
2807,"Fried, Max",2807,0.233,0.095,0.29,0.329,0.28,0.3,0.248,154,660,87.1,309,1295,728,496,121,17,2,14,168,23.1,56,7.7,35.28225806451610,0.298,26,0.312,0.362,23.9
2731,"Heaney, Andrew",2731,0.251,0.159,0.299,0.41,0.312,0.325,0.253,159,634,87.1,362,1374,692,481,105,30,1,23,159,23,40,5.8,40.37656903765690,0.306,40,0.311,0.433,26.3
2676,"Valdez, Framber",2676,0.225,0.101,0.283,0.327,0.275,0.289,0.237,147,652,88.4,325,1201,723,489,108,25,1,13,171,23.7,57,7.9,45.45454545454550,0.291,25,0.304,0.341,27.1
2622,"Gomber, Austin",2622,0.273,0.21,0.29,0.482,0.339,0.343,0.277,178,653,84.5,252,1267,696,541,105,39,4,30,116,16.7,38,5.5,41.37291280148420,0.312,52,0.317,0.482,19.9
2590,"Imanaga, Shota",2590,0.225,0.16,0.264,0.385,0.279,0.286,0.234,149,662,87.1,409,1443,694,489,98,23,1,27,174,25.1,28,4,39.263803680981600,0.259,42,0.268,0.39,28.3
2451,"Suárez, Ranger",2451,0.245,0.135,0.308,0.38,0.299,0.295,0.247,145,592,85.3,256,1156,646,443,95,34,2,14,153,23.7,44,6.8,34.92063492063490,0.302,23,0.305,0.361,22.1
