pitches,player_name,total_pitches,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,velocity,whiffs,swings,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,hardhit_percent,obp,xobp,xslg,swing_miss_percent,swing_path_tilt
3308,"Cease, Dylan",3308,0.207,0.135,0.273,0.343,0.273,0.288,0.214,147,709,90.9,516,1598,790,488,92,34,1,20,230,29.1,68,8.6,39.21971252566740,0.276,0.284,0.366,32.3,31.501839052970100
3281,"Lugo, Seth",3281,0.228,0.124,0.276,0.352,0.278,0.307,0.245,184,807,87.3,343,1523,877,626,124,37,6,17,189,21.6,52,5.9,39.42307692307690,0.281,0.299,0.4,22.5,32.58265675373650
3275,"Nola, Aaron",3275,0.248,0.178,0.295,0.425,0.312,0.304,0.245,194,783,86.8,404,1584,841,582,121,39,2,32,204,24.3,52,6.2,38.89845094664370,0.296,0.295,0.399,25.5,33.28724349926880
3245,"Wheeler, Zack",3245,0.188,0.132,0.243,0.32,0.254,0.26,0.195,140,744,91.5,472,1660,813,515,87,28,5,20,233,28.7,56,6.9,33.00970873786410,0.252,0.26,0.323,28.4,32.1297196728541
3201,"Webb, Logan",3201,0.258,0.097,0.316,0.355,0.288,0.32,0.271,202,783,89,308,1480,838,617,152,35,4,11,172,20.5,47,5.6,46.26623376623380,0.3,0.315,0.411,20.8,34.77627812609720
3181,"Severino, Luis",3181,0.244,0.14,0.286,0.385,0.309,0.304,0.239,183,749,92.4,350,1606,834,580,130,26,2,25,174,20.9,66,7.9,34.77508650519030,0.315,0.31,0.374,21.8,31.97938094482200
3147,"Peralta, Freddy",3147,0.221,0.162,0.277,0.383,0.302,0.302,0.223,145,655,89.3,460,1483,742,459,93,24,2,26,205,27.6,68,9.2,37.33624454148470,0.302,0.306,0.373,31,31.78493151710300
3103,"Bibee, Tanner",3103,0.238,0.176,0.295,0.414,0.305,0.304,0.241,169,711,88.8,426,1573,777,516,96,45,4,24,203,26.1,47,6,38.17829457364340,0.293,0.298,0.396,27.1,31.181590080275600
3080,"Burnes, Corbin",3080,0.225,0.118,0.267,0.342,0.27,0.285,0.233,170,757,90.3,425,1505,811,576,126,21,1,22,184,22.7,49,6,32.17391304347830,0.273,0.281,0.369,28.2,33.60074731185700
3061,"King, Michael",3061,0.22,0.127,0.29,0.348,0.283,0.293,0.227,154,699,89.3,410,1392,771,486,105,28,2,19,216,28,62,8,30.991735537190100,0.29,0.296,0.362,29.5,32.5154856144367
3046,"Irvin, Jake",3046,0.244,0.185,0.274,0.428,0.314,0.32,0.253,173,710,89.3,329,1476,768,557,103,38,3,29,156,20.3,51,6.6,39.27927927927930,0.298,0.306,0.43,22.3,31.471524280530300
3042,"Gilbert, Logan",3042,0.196,0.157,0.237,0.353,0.255,0.276,0.224,148,756,90.3,485,1532,802,542,82,39,1,26,220,27.4,36,4.5,39.29889298892990,0.235,0.262,0.368,31.7,32.388745252798900
3034,"Flaherty, Jack",3034,0.229,0.18,0.284,0.41,0.3,0.305,0.241,159,693,87,433,1387,747,486,100,23,6,30,209,28,47,6.3,38.266384778012700,0.283,0.295,0.402,31.2,33.55956446538700
2988,"Brown, Hunter",2988,0.238,0.117,0.302,0.355,0.294,0.282,0.223,158,665,92.4,352,1385,734,479,120,17,2,19,188,25.6,62,8.4,30.48016701461380,0.307,0.295,0.331,25.4,31.362021806652300
2986,"López, Pablo",2986,0.252,0.155,0.311,0.407,0.306,0.297,0.239,180,715,90.1,418,1548,772,523,121,33,0,26,198,25.6,41,5.3,37.476099426386200,0.298,0.288,0.389,27,32.22478619116920
2973,"Singer, Brady",2973,0.253,0.153,0.305,0.406,0.316,0.331,0.267,175,692,87.8,334,1327,761,528,116,34,3,22,169,22.2,54,7.1,41.904761904761900,0.316,0.329,0.427,25.2,33.99107037783700
2967,"Kirby, George",2967,0.245,0.149,0.292,0.394,0.287,0.288,0.236,181,739,91.9,381,1584,777,568,118,38,3,22,178,22.9,23,3,36.33156966490300,0.273,0.266,0.397,24.1,30.635891813157700
2959,"Bassitt, Chris",2959,0.27,0.128,0.335,0.398,0.332,0.328,0.257,180,666,86.4,289,1332,755,504,132,29,1,18,167,22.1,68,9,37.10317460317460,0.351,0.339,0.399,21.7,31.673488651779200
2958,"Gausman, Kevin",2958,0.238,0.155,0.282,0.393,0.301,0.333,0.257,165,692,90.3,345,1475,755,535,101,41,3,20,161,21.3,56,7.4,42.47619047619050,0.296,0.315,0.449,23.4,33.89523579368300
2914,"Berríos, José",2914,0.235,0.171,0.258,0.406,0.308,0.334,0.265,168,714,89.2,288,1362,785,565,112,21,4,31,153,19.5,53,6.8,41.99288256227760,0.299,0.327,0.44,21.1,32.93139202358160
