2023 Next Generation MCAS Achievement Results ,,,,,,,,,,,,,,,,,
District Name,District Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Avg. Scaled Score,SGP,Included In SGP
Abby Kelley Foster Charter Public (District),04450000,ELA,         268,38,          25,4,         243,34,         314,44,         130,18,         712,100,     492,          53,         574
Abby Kelley Foster Charter Public (District),04450000,MATH,         223,31,          12,2,         211,30,         367,52,         119,17,         709,100,     489,          55,         573
Abby Kelley Foster Charter Public (District),04450000,SCI,          90,39,           5,2,          85,37,         107,46,          34,15,         231,100,     493,,
Abington,00010000,ELA,         467,48,          69,7,         398,41,         381,39,         128,13,         976,99,     497,          47,         757
Abington,00010000,MATH,         418,43,          57,6,         361,37,         437,45,         117,12,         972,98,     497,          46,         753
Abington,00010000,SCI,         149,44,          18,5,         131,39,         140,41,          49,14,         338,97,     495,,
Academy Of the Pacific Rim Charter Public (District),04120000,ELA,          40,18,           3,1,          37,17,          91,41,          89,40,         220,99,     477,          43,         201
Academy Of the Pacific Rim Charter Public (District),04120000,MATH,          28,13,           1,0,          27,12,         103,47,          88,40,         219,98,     477,          47,         199
Academy Of the Pacific Rim Charter Public (District),04120000,SCI,          10,10,           0,0,          10,10,          54,51,          41,39,         105,98,     476,,
Acton-Boxborough,06000000,ELA,"       1,582",67,         333,14,"       1,249",53,         609,26,         168,7,"       2,359",99,     507,          54,"       1,877"
Acton-Boxborough,06000000,MATH,"       1,621",69,         517,22,"       1,104",47,         589,25,         149,6,"       2,359",99,     511,          58,"       1,881"
Acton-Boxborough,06000000,SCI,         575,71,         168,21,         407,50,         185,23,          51,6,         811,99,     511,,
Acushnet,00030000,ELA,         311,50,          56,9,         255,41,         255,41,          59,9,         625,100,     501,          50,         506
Acushnet,00030000,MATH,         318,51,          60,10,         258,42,         253,41,          49,8,         620,99,     502,          46,         503
Acushnet,00030000,SCI,         104,48,          12,6,          92,43,          86,40,          25,12,         215,100,     499,,
Advanced Math and Science Academy Charter (District),04300000,ELA,         258,62,          58,14,         200,48,         128,31,          32,8,         418,99,     506,          58,         398
Advanced Math and Science Academy Charter (District),04300000,MATH,         239,57,          52,12,         187,45,         159,38,          21,5,         419,99,     504,          54,         399
Advanced Math and Science Academy Charter (District),04300000,SCI,          91,66,          20,14,          71,51,          41,30,           6,4,         138,97,     509,,
Agawam,00050000,ELA,         552,37,          54,4,         498,33,         714,48,         228,15,"       1,494",98,     492,          45,"       1,160"
Agawam,00050000,MATH,         518,35,          50,3,         468,31,         757,51,         222,15,"       1,497",98,     492,          44,"       1,153"
Agawam,00050000,SCI,         198,42,          21,4,         177,38,         219,47,          50,11,         467,96,     496,,
Alma del Mar Charter School (District),04090000,ELA,         219,30,          23,3,         196,27,         348,48,         159,22,         726,100,     488,          45,         594
Alma del Mar Charter School (District),04090000,MATH,         199,28,          14,2,         185,26,         372,52,         151,21,         722,99,     488,          50,         591
Alma del Mar Charter School (District),04090000,SCI,          51,23,           6,3,          45,20,         126,56,          49,22,         226,100,     485,,
Amesbury,00070000,ELA,         347,42,          49,6,         298,36,         336,41,         142,17,         825,99,     494,          46,         637
Amesbury,00070000,MATH,         369,45,          49,6,         320,39,         323,39,         133,16,         825,99,     496,          52,         630
Amesbury,00070000,SCI,         118,40,          12,4,         106,36,         123,42,          55,19,         296,98,     492,,
Amherst,00080000,ELA,         279,50,          43,8,         236,42,         164,29,         119,21,         562,96,     496,          50,         370
Amherst,00080000,MATH,         241,43,          52,9,         189,34,         193,34,         129,23,         563,96,     494,          57,         364
Amherst,00080000,SCI,          54,41,           9,7,          45,34,          52,39,          26,20,         132,96,     494,,
Amherst-Pelham,06050000,ELA,         174,48,          44,12,         130,36,         122,34,          64,18,         360,95,     497,          50,         297
Amherst-Pelham,06050000,MATH,         148,44,          30,9,         118,35,         122,36,          65,19,         335,89,     496,          47,         280
Amherst-Pelham,06050000,SCI,          85,50,           8,5,          77,45,          61,36,          24,14,         170,92,     496,,
Andover,00090000,ELA,"       1,729",67,         472,18,"       1,257",49,         703,27,         158,6,"       2,590",100,     509,          57,"       2,071"
Andover,00090000,MATH,"       1,672",65,         460,18,"       1,212",47,         757,29,         162,6,"       2,591",99,     509,          55,"       2,070"
Andover,00090000,SCI,         639,74,         199,23,         440,51,         178,21,          44,5,         861,99,     514,,
Argosy Collegiate Charter School (District),35090000,ELA,          42,14,           1,0,          41,14,         151,50,         108,36,         301,100,     478,          39,         275
Argosy Collegiate Charter School (District),35090000,MATH,          28,9,           1,0,          27,9,         183,61,          90,30,         301,100,     479,          43,         275
Argosy Collegiate Charter School (District),35090000,SCI,          12,12,           0,0,          12,12,          60,62,          25,26,          97,100,     480,,
Arlington,00100000,ELA,"       1,965",69,         485,17,"       1,480",52,         699,24,         196,7,"       2,860",99,     509,          56,"       2,251"
Arlington,00100000,MATH,"       1,991",70,         449,16,"       1,542",54,         722,25,         150,5,"       2,863",99,     509,          56,"       2,248"
Arlington,00100000,SCI,         677,74,         213,23,         464,50,         201,22,          43,5,         921,99,     513,,
Ashburnham-Westminster,06100000,ELA,         465,43,          54,5,         411,38,         497,46,         113,11,"       1,075",100,     497,          47,         893
