2024-25 Enrollment by Selected Population (District) ,,,,,,,,,,,,,
District Name,District Code,High Needs#,High Needs%,English Learners#,English Learners%,First Language Not English#,First Language Not English%,Low Income#,Low Income%,Students with Disabilities#,Students with Disabilities%,Students with Disabilities#,Students with Disabilities%
Abby Kelley Foster Charter Public (District),04450000,"   1,015",  71.2,     309,  21.7,     968,  67.9,     825,  57.9, , ,     205,  14.4
Abington,00010000,"   1,034",  47.5,     263,  12.3,     435,  20.3,     707,  33.0, , ,     435,  20.0
Academy Of the Pacific Rim Charter Public (District),04120000,     384,  75.4,      68,  13.4,     162,  31.8,     323,  63.5, , ,     120,  23.6
Acton-Boxborough,06000000,"   1,679",  32.8,     410,   8.1,"   1,285",  25.4,     625,  12.4, , ,     858,  16.8
Acushnet,00030000,     373,  40.0,       4,   0.4,      21,   2.3,     279,  30.3, , ,     158,  17.0
Advanced Math and Science Academy Charter (District),04300000,     255,  26.3,      19,   2.0,     207,  21.3,     174,  17.9, , ,      62,   6.4
Agawam,00050000,"   1,849",  53.0,     304,   8.8,     686,  19.8,"   1,475",  42.6, , ,     634,  18.2
Alma del Mar Charter School (District),04090000,     909,  87.2,     295,  28.3,     387,  37.1,     788,  75.6, , ,     223,  21.4
Amesbury,00070000,     878,  48.0,      87,   4.9,     132,   7.4,     608,  33.9, , ,     465,  25.4
Amherst,00080000,     542,  52.1,     132,  12.7,     297,  28.6,     372,  35.8, , ,     247,  23.7
Amherst-Pelham,06050000,     551,  46.0,      75,   6.3,     258,  21.8,     374,  31.6, , ,     331,  27.7
Andover,00090000,"   1,652",  30.2,     223,   4.1,"   1,006",  18.6,     661,  12.2, , ,     973,  17.8
Argosy Collegiate Charter School (District),35090000,     477,  81.3,      83,  14.1,     109,  18.6,     416,  70.9, , ,     135,  23.0
Arlington,00100000,"   1,823",  29.6,     283,   4.6,     916,  15.0,     664,  10.9, , ,"   1,089",  17.7
Ashburnham-Westminster,06100000,     827,  36.5,      53,   2.4,     138,   6.1,     527,  23.4, , ,     403,  17.8
Ashland,00140000,"   1,199",  40.9,     219,   7.5,     909,  31.2,     661,  22.7, , ,     575,  19.6
Assabet Valley Regional Vocational Technical,08010000,     720,  62.9,     132,  11.5,     394,  34.4,     505,  44.1, , ,     269,  23.5
Athol-Royalston,06150000,"   1,115",  68.4,      71,   4.4,     125,   7.8,     960,  59.9, , ,     409,  25.1
Atlantis Charter (District),04910000,     885,  71.0,     236,  18.9,     428,  34.3,     726,  58.3, , ,     207,  16.6
Attleboro,00160000,"   3,277",  52.2,     624,  10.0,"   1,179",  18.9,"   2,473",  39.6, , ,"   1,213",  19.3
Auburn,00170000,     953,  37.8,      93,   3.7,     356,  14.2,     702,  28.0, , ,     372,  14.7
Avon,00180000,     464,  62.6,     109,  14.9,     164,  22.4,     324,  44.3, , ,     163,  22.0
Ayer Shirley School District,06160000,     824,  47.1,     126,   7.3,     187,  10.9,     572,  33.2, , ,     357,  20.4
Barnstable,00200000,"   3,160",  66.9,"   1,178",  25.2,"   1,802",  38.5,"   2,486",  53.1, , ,     860,  18.2
Baystate Academy Charter Public School (District),35020000,     349,  89.9,      39,  10.1,      78,  20.1,     324,  83.5, , ,      81,  20.9
Bedford,00230000,     824,  32.3,     120,   4.8,     461,  18.3,     341,  13.6, , ,     476,  18.7
Belchertown,00240000,     775,  37.7,      66,   3.2,      51,   2.5,     477,  23.3, , ,     460,  22.4
Bellingham,00250000,"   1,006",  49.1,     131,   6.5,     208,  10.3,     673,  33.3, , ,     474,  23.2
Belmont,00260000,"   1,649",  36.0,     411,   9.2,"   1,368",  30.8,     554,  12.5, , ,     730,  15.9
Benjamin Banneker Charter Public (District),04200000,     227,  64.5,      22,   6.3,     108,  30.7,     207,  58.8, , ,      30,   8.5
Benjamin Franklin Classical Charter Public (District),04470000,     342,  38.1,      60,   6.7,     249,  27.7,     153,  17.0, , ,     154,  17.1
Berkley,00270000,     326,  39.0,      13,   1.6,      16,   1.9,     212,  25.5, , ,     176,  21.1
Berkshire Arts and Technology Charter Public (District),04140000,     239,  65.7,       6,   1.6,      12,   3.3,     205,  56.3, , ,      76,  20.9
Berkshire Hills,06180000,     609,  52.9,     100,   8.8,     163,  14.4,     486,  43.0, , ,     243,  21.1
Berlin-Boylston,06200000,     347,  30.8,      37,   3.3,     148,  13.3,     164,  14.8, , ,     214,  19.0
Beverly,00300000,"   2,071",  45.3,     258,   5.7,     540,  12.0,"   1,440",  32.0, , ,"   1,042",  22.8
Billerica,00310000,"   2,084",  41.4,     186,   3.7,     769,  15.5,"   1,276",  25.7, , ,"   1,100",  21.9
Blackstone Valley Regional Vocational Technical,08050000,     385,  31.0,      15,   1.2,      80,   6.4,     227,  18.3, , ,     191,  15.4
Blackstone-Millville,06220000,     722,  48.4,      66,   4.5,     142,   9.6,     549,  37.1, , ,     277,  18.6
Blue Hills Regional Vocational Technical,08060000,     463,  50.9,      11,   1.2,      82,   9.0,     321,  35.3, , ,     210,  23.1
Boston,00350000,"  37,887",  81.6,"  15,972",  34.7,"  23,944",  51.9,"  32,293",  70.1, , ,"  10,725",  23.1
Boston Collegiate Charter (District),04490000,     402,  56.8,      45,   6.4,      58,   8.2,     296,  41.8, , ,     151,  21.3
Boston Day and Evening Academy Charter (District),04240000,     285,  88.2,      19,   5.9,      84,  26.0,     254,  78.6, , ,     137,  42.4
Boston Green Academy Horace Mann Charter School (District),04110000,     381,  89.4,      61,  14.3,     166,  39.0,     343,  80.5, , ,     135,  31.7
Boston Preparatory Charter Public (District),04160000,     547,  78.1,     120,  17.1,     228,  32.6,     457,  65.3, , ,     145,  20.7
Boston Renaissance Charter Public (District),04810000,     718,  76.5,     161,  17.2,     237,  25.3,     655,  69.8, , ,     101,  10.8
Bourne,00360000,     743,  48.5,      38,   2.5,      63,   4.1,     560,  36.9, , ,     322,  21.0
Boxford,00380000,     170,  21.7,       7,   0.9,      12,   1.5,      49,   6.3, , ,     130,  16.6
Braintree,00400000,"   2,479",  47.0,     399,   7.7,"   1,357",  26.1,"   1,461",  28.0, , ,"   1,254",  23.8
Brewster,00410000,     213,  48.4,      20,   4.6,      37,   8.4,     156,  35.5, , ,      94,  21.4
Bridge Boston Charter School (District),04170000,     285,  86.6,      65,  19.8,     143,  43.5,     252,  76.6, , ,      65,  19.8
Bridgewater-Raynham,06250000,"   2,387",  41.7,     284,   5.0,     532,   9.4,"   1,580",  27.8, , ,"   1,154",  20.2
Brimfield,00430000,      86,  33.2,       4,   1.6,       6,   2.3,      66,  25.6, , ,      29,  11.2
Bristol County Agricultural,09100000,     250,  39.6,       2,   0.3,       2,   0.3,     176,  27.9, , ,     104,  16.5
Bristol-Plymouth Regional Vocational Technical,08100000,     495,  37.1,      11,   0.8,      25,   1.9,     360,  27.0, , ,     206,  15.4
Brockton,00440000,"  12,963",  84.3,"   5,317",  34.8,"   8,060",  52.7,"  11,305",  74.0, , ,"   3,035",  19.7
Brooke Charter School (District),04280000,"   1,596",  72.0,     236,  10.6,     751,  33.9,"   1,356",  61.2, , ,     366,  16.5
Brookfield,00450000,     112,  38.6,       3,   1.0,       6,   2.1,      82,  28.4, , ,      43,  14.8
Brookline,00460000,"   2,917",  41.1,     803,  11.4,"   2,155",  30.7,"   1,023",  14.6, , ,"   1,320",  18.6
Burlington,00480000,"   1,334",  37.2,     294,   8.4,     941,  26.8,     709,  20.2, , ,     568,  15.8
